Horizon started successfully.
[2021-03-24 08:30:25][20816] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20648] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20763] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20817] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20817] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20820] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20820] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20821] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20626] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20803] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20630] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20812] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20812] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20814] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20797] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20798] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20772] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20668] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20813] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20813] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:25][20815] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20815] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:25][20799] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:26][20803] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:26][20826] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:26][20826] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:26][20827] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:27][20681] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:27][20835] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:27][20679] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:27][20829] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:27][20829] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:28][20651] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:28][20838] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:28][20838] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:28][20839] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:28][20827] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:28][20842] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:28][20842] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:28][20843] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:28][20840] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:28][20840] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:28][20841] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20843] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20850] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20850] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20851] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20701] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20852] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20852] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20853] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20814] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20846] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20846] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20847] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20687] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20844] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20844] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20845] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20841] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:30][20848] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20848] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:30][20849] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:31][20849] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:32][20654] Processed:  App\Jobs\SwSyncSourceImageJob
